编号,今地名,古地名,地点名胜,经度,纬度
ac6c527ac310a4c4ddfff53510ae7717,云梦,淮南道,云梦泽,113.1053932,41.7095305
2deb4229c542580e26291bc4d4b01ef9,成都,剑南道,,104.0633150,30.6598670
b353c1d43c0e464fbe63992a4918a9e7,成都,剑南道,武担山,104.0633150,30.6598670
0b0e958996913e2c447e428f4bc25b50,成都,剑南道,慈恩寺,104.0633150,30.6598670
da97ece0737b0729f897baa0c63146a7,成都,剑南道,草堂,104.4045572,30.8630390
a4ae89585921b7bb5323ac9c0005626b,成都,剑南道北部,,104.0633150,30.6598670
dba6ea937f06998ee63a15afbce40902,成都,剑南道,报恩寺,103.8529092,31.3175711
730238f08e1c135a3430a0561ad35311,成都,剑南道,武侯祠,104.0456552,30.6478414
3aa018982d38229157c961094de7eab2,成都,剑南道,文翁学堂,104.0633150,30.6598670
967179e5126fcc6a2d4fc8f9a3046e7f,成都,剑南道,草玄台,104.0633150,30.6598670
4be72d36cce850221c5cab99b55b120a,成都,剑南道,金花寺,104.1157097,30.7798947
7bf39bce803e6dbcba291e00855f9d63,成都,剑南道,严真观,104.0633150,30.6598670
38dbd8047651a8b26545100ec5030b36,成都,剑南道,张仪楼,104.0633150,30.6598670
c91fffa2eb7331a74215a590c529f810,成都,剑南道,升迁桥,104.0982592,30.6541416
39cfab2a36922827499e43362c7b4aa1,成都,剑南道,万里桥,104.0577828,30.6493601
e08fc0de58fd958cd156967ac000c1cc,成都,剑南道,石犀,104.0708278,30.7001324
cbf2bcafb2da47b79cc64197f4bd4265,成都,剑南道,龙女祠,104.0633150,30.6598670
b22ca843bb4ecaab35488d8a73790cf4,成都,剑南道,锦楼,121.4900783,24.9973090
3e43c0f55c00540700a3aa2d6cd60b65,成都,剑南道,摩诃池,104.0614959,30.6665981
f24ca431f9375ff736064864f1659046,成都,剑南道,三峡,104.0666514,30.5918196
71aef01f2ea8933a165a01fa7d0ccc2b,成都市,,武侯庙,104.0456552,30.6478414
00ecae0af3c8b0fb0c62644037a57d6f,成都市,,,104.0633150,30.6598670
e177aa919797287319f5e865c7f3b513,成都市,剑南道,锦楼（一名锦江楼）,104.0633150,30.6598670
dddeb18258f90c3ed4646fd65f551241,成都市,剑南道,,104.0633150,30.6598670
a9210184d9c0dd23b8c469f1ccd91191,成都,剑南道,刘备庙,104.0633150,30.6598670
6b8c7070bc7af5080d1adf7b91d853cc,成都,剑南道,升仙桥,104.0633150,30.6598670
568399983c5e28e28be6d1c26f533cc4,成都,,,104.0633150,30.6598670
ab81ef96723364c3044eca7f8ac25d25,成都,剑南道,净众寺,104.1916973,30.5421205
b9669cf41d2fa490483c182b1364338f,彭县,剑南道,,103.9281779,30.9718585
6e0411ddfa3e4934bceb1d66771922ee,彭县,剑南道,白鹿山,114.1380416,22.4902174
642173d8e1731b5b3ce26bc6a4eba886,彭县,剑南道,白鹿山仙居观,103.9281779,30.9718585
46787aa10697af128e40bbb9a81cbbc4,彭县,剑南道,彭门山,110.4789943,29.1138208
